単語,判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
評定情報,0,0.5585919948972397,2,2.0,1,0
評定情報,0,0.3494728720755914,2,2.0,1,0
複数企業,0,0.579026706156607,1,2.0,0,0
自身,0,0.4295095474843318,1,1.0,0,0
自社企業,0,0.46294516382528206,2,2.0,0,0.5
自社企業,0,0.37832155033415316,2,2.0,0,0.5
自由記述,0,0.3830984244317686,4,2.0,0,0
自由記述,0,0.2322121235469531,4,2.0,0,0
自由記述,0,0.18218726423912757,4,2.0,0,0
自由記述,0,0.15928935515267564,4,2.0,0,0
自己評価入力,0,0.29091371549246897,1,3.0,0,0
自己評価,0,0.37784288266024946,2,2.0,1,0
自己評価,0,0.18173805139516105,2,2.0,1,0
自分,0,0.3290218034945666,1,1.0,0,0
職階,0,0.38890859999022004,1,1.0,0,0
総合評価,0,0.27140625335648105,2,2.0,0,0
総合評価,0,0.21854429971812364,2,2.0,0,0
確定フラグ,0,0.4262630026535185,1,2.5,0,0
目標,0,0.4930153508535785,3,1.0,0,0
目標,0,0.3515585698624782,3,1.0,0,0
目標,0,0.16909560129395557,3,1.0,0,0
注意事項,0,0.4148885408733919,1,2.0,0,0
氏名,0,0.45500124861152835,3,1.0,6,0
氏名,0,0.45468678265100265,3,1.0,6,0
氏名,0,0.3295442938287933,3,1.0,6,0
本学向け,0,0.3344247284525142,1,1.6,0,0
最初,0,0.22824292352029638,1,1.0,0,0
教員,0,0.37527311208072295,15,1.0,0,0
教員,0,0.3712285424612107,15,1.0,0,0
教員,0,0.3611432818258359,15,1.0,0,0
教員,0,0.3501747268299163,15,1.0,0,0
教員,0,0.30028900678488296,15,1.0,0,0
教員,0,0.28683902471192274,15,1.0,0,0
教員,0,0.26640845500920096,15,1.0,0,0
教員,0,0.2551564165340503,15,1.0,0,0
教員,0,0.24273280218976673,15,1.0,0,0
教員,0,0.23099357955874741,15,1.0,0,0
教員,0,0.20801230618390162,15,1.0,0,0
教員,0,0.19909139172586532,15,1.0,0,0
教員,0,0.18128160972251203,15,1.0,0,0
教員,0,0.17367135158833746,15,1.0,0,0
教員,0,0.16154570264098336,15,1.0,0,0
担当者情報,0,0.5539672209719944,1,2.5,0,0
担当者名,0,0.38890859999022004,1,2.0,1,0
担当者id,0,0.40576103215473686,4,2.3,1,0.3333333333333333
担当者id,0,0.39227066659880777,4,2.3,1,0.3333333333333333
担当者id,0,0.38894334103166855,4,2.3,1,0.3333333333333333
担当者id,0,0.2557369676435479,4,2.3,1,0.3333333333333333
担当者,0,0.48726548264263453,1,1.5,22,0
担当年度,0,0.5107370118650769,1,2.0,0,0
情報,0,0.6527998426649659,5,1.0,15,0
情報,0,0.45679558645089213,5,1.0,15,0
情報,0,0.40705526695274147,5,1.0,15,0
情報,0,0.3394533844092522,5,1.0,15,0
情報,0,0.29481840084302874,5,1.0,15,0
当該年度,0,0.38373698863781563,1,2.0,0,0
当該学生,0,0.2980163173808827,1,2.0,0,0
当該インターンシップ参加学生,0,0.6133592250693843,1,6.7,0,0
当該インターンシップ,0,0.5585919948972397,2,4.7,1,0
当該インターンシップ,0,0.37784288266024946,2,4.7,1,0
年度別一覧,0,0.5291549600409159,1,2.5,0,0
年度,0,0.37839312514599277,2,1.0,6,0
年度,0,0.3494728720755914,2,1.0,6,0
実施開始日,0,0.3651793500903566,4,2.5,0,0
実施開始日,0,0.3492002720914982,4,2.5,0,0
実施開始日,0,0.3259743967826926,4,2.5,0,0
実施開始日,0,0.28179238964510855,4,2.5,0,0
実施終了日,0,0.3876606928597232,3,2.5,0,0
実施終了日,0,0.370697903351597,3,2.5,0,0
実施終了日,0,0.3460421857918355,3,2.5,0,0
実施日数,0,0.3651793500903566,4,2.0,3,0
実施日数,0,0.3492002720914982,4,2.0,3,0
実施日数,0,0.3259743967826926,4,2.0,3,0
実施日数,0,0.28179238964510855,4,2.0,3,0
実施日,0,0.5370958812974478,1,1.5,11,0
実施場所,0,0.3876606928597232,3,2.0,0,0
実施場所,0,0.370697903351597,3,2.0,0,0
実施場所,0,0.299140225167142,3,2.0,0,0
実施内容,0,0.3876606928597232,3,2.0,0,0
実施内容,0,0.370697903351597,3,2.0,0,0
実施内容,0,0.299140225167142,3,2.0,0,0
学籍番号,0,0.40705526695274147,5,2.0,0,0
学籍番号,0,0.4067739379983706,5,2.0,0,0
学籍番号,0,0.33395895711397305,5,2.0,0,0
学籍番号,0,0.3095778192790587,5,2.0,0,0
学籍番号,0,0.3028485716445884,5,2.0,0,0
学生順,0,0.5396337137791798,2,1.5,0,0
学生順,0,0.20060228113439468,2,1.5,0,0
学生登録,0,0.4477886730103872,1,2.0,0,0
学生氏名,0,0.6054550231734607,6,2.0,0,0
学生氏名,0,0.38496158898172955,6,2.0,0,0
学生氏名,0,0.31900404415935874,6,2.0,0,0
学生氏名,0,0.30866527352671547,6,2.0,0,0
学生氏名,0,0.2957147105305857,6,2.0,0,0
学生氏名,0,0.2892868032568987,6,2.0,0,0
学生毎,0,0.428733162356621,2,1.5,0,0
学生毎,0,0.3519095225107841,2,1.5,0,0
学生情報,0,0.5473885160986186,3,2.0,0,0
学生情報,0,0.43945132554692923,3,2.0,0,0
学生情報,0,0.35200393943432823,3,2.0,0,0
学生id,0,0.5222310809326971,10,1.8,0,0.5
学生id,0,0.3351483159309954,10,1.8,0,0.5
学生id,0,0.33204598035666205,10,1.8,0,0.5
学生id,0,0.29403446046104625,10,1.8,0,0.5
学生id,0,0.2751547520905037,10,1.8,0,0.5
学生id,0,0.2662371163350008,10,1.8,0,0.5
学生id,0,0.25506669697551315,10,1.8,0,0.5
学生id,0,0.2495223496083414,10,1.8,0,0.5
学生id,0,0.20550180435184814,10,1.8,0,0.5
学生id,0,0.1861362690788235,10,1.8,0,0.5
学生,0,0.4311602929851093,14,1.0,32,0
学生,0,0.40862273565138707,14,1.0,32,0
学生,0,0.4042186935210862,14,1.0,32,0
学生,0,0.3851123957332619,14,1.0,32,0
学生,0,0.3660581570529522,14,1.0,32,0
学生,0,0.34590845653452895,14,1.0,32,0
