判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
0,0.254839048436148,3,1.0,0,0.0
0,0.2498517274979053,2,1.0,3,0.0
0,0.1983142145047325,2,1.0,3,0.0
0,0.6085708197121014,1,1.0,0,0.0
0,0.5103178307465837,1,1.0,0,0.0
0,0.440307039794124,1,2.0,0,0.0
0,0.3815472572713995,4,4.7,0,0.0
0,0.3442404421920994,4,4.7,0,0.0
0,0.2388665360543044,4,4.7,0,0.0
0,0.2290558422056025,4,4.7,0,0.0
0,0.4316642205186238,3,3.3,0,0.0
0,0.3136839165109304,3,3.3,0,0.0
0,0.24061006784545266,3,3.3,0,0.0
0,0.2589067191803029,2,5.6,0,0.0
0,0.2025865136884777,2,5.6,0,0.0
0,0.3742690841511116,6,2.2,9,0.0
0,0.2719757315174897,6,2.2,9,0.0
0,0.25812944943973753,6,2.2,9,0.0
0,0.1644121934532487,6,2.2,9,0.0
0,0.15595095663795094,6,2.2,9,0.0
0,0.10505986016836956,6,2.2,9,0.0
0,0.3439267891993167,9,1.0,17,0.0
0,0.3343928170513735,9,1.0,17,0.0
0,0.32756372811160483,9,1.0,17,0.0
0,0.3151926384729326,9,1.0,17,0.0
0,0.29668498430355145,9,1.0,17,0.0
0,0.2328997930347837,9,1.0,17,0.0
0,0.1895825504806568,9,1.0,17,0.0
0,0.14070825937679282,9,1.0,17,0.0
0,0.06515969411874571,9,1.0,17,0.0
0,0.3514484156985262,2,0.6,0,0.0
0,0.3461547666456513,2,0.6,0,0.0
0,0.6331829232354336,1,1.5,0,0.0
0,0.4436224801139379,2,1.0,0,0.0
0,0.4238999757610756,2,1.0,0,0.0
0,0.3514484156985262,2,1.0,0,0.0
0,0.3461547666456513,2,1.0,0,0.0
0,0.7369270081430599,1,1.0,0,0.0
0,0.3457394925677605,1,1.0,0,0.0
0,0.2669594208586905,2,1.0,0,0.0
0,0.2584128243483943,2,1.0,0,0.0
0,0.38804272487660296,1,1.0,0,0.0
0,0.4809980646628059,5,2.5,0,0.0
0,0.3377660055207463,5,2.5,0,0.0
0,0.27611106485831105,5,2.5,0,0.0
0,0.2376565369819276,5,2.5,0,0.0
0,0.1409173889481722,5,2.5,0,0.0
0,0.3558665911590496,1,2.5,0,0.0
0,0.3721075562177905,2,1.0,1,0.0
0,0.33981845076012296,2,1.0,1,0.0
0,0.6041939454798056,1,1.0,0,0.0
0,0.5120431051891994,1,0.6,0,0.0
0,0.46212445267999297,1,1.0,0,0.0
0,0.3558665911590496,1,1.5,0,0.0
0,0.3457394925677605,1,1.0,0,0.0
0,0.2669594208586905,2,1.0,0,0.0
0,0.2584128243483943,2,1.0,0,0.0
0,0.20948846184618009,1,2.0,0,0.0
0,0.3681754236663191,4,2.2,0,0.0
0,0.35956423087739725,4,2.2,0,0.0
0,0.301213384560675,4,2.2,0,0.0
0,0.2278534008938,4,2.2,0,0.0
0,0.20948846184618009,1,2.0,0,0.0
0,0.440307039794124,1,2.0,0,0.0
0,0.563436990506069,2,2.0,0,0.0
0,0.3918684744578482,2,2.0,0,0.0
0,0.34674453101221075,1,2.0,0,0.0
0,0.2957069456795657,2,2.0,0,0.0
0,0.2898868035015413,2,2.0,0,0.0
0,0.28023589471252386,1,1.0,0,0.0
0,0.3210173159548597,2,1.0,0,0.0
0,0.30449572727241725,2,1.0,0,0.0
