判定結果,TF-IDF値,出現回数,優先値,連結回数,固有度
0,0.37527311208072295,15,1.0,0,0.0
0,0.3712285424612107,15,1.0,0,0.0
0,0.3611432818258359,15,1.0,0,0.0
0,0.3501747268299163,15,1.0,0,0.0
0,0.30028900678488296,15,1.0,0,0.0
0,0.28683902471192274,15,1.0,0,0.0
0,0.26640845500920096,15,1.0,0,0.0
0,0.2551564165340503,15,1.0,0,0.0
0,0.24273280218976676,15,1.0,0,0.0
0,0.2309935795587474,15,1.0,0,0.0
0,0.2080123061839016,15,1.0,0,0.0
0,0.19909139172586526,15,1.0,0,0.0
0,0.18128160972251206,15,1.0,0,0.0
0,0.17367135158833746,15,1.0,0,0.0
0,0.16154570264098336,15,1.0,0,0.0
0,0.5539672209719944,1,2.5,0,0.0
0,0.38890859999022,1,2.0,1,0.0
0,0.4057610321547369,4,2.3,1,0.3333333333333333
0,0.39227066659880777,4,2.3,1,0.3333333333333333
0,0.38894334103166855,4,2.3,1,0.3333333333333333
0,0.2557369676435479,4,2.3,1,0.3333333333333333
0,0.4872654826426345,1,1.5,22,0.0
0,0.5107370118650769,1,2.0,0,0.0
0,0.6527998426649659,5,1.0,15,0.0
0,0.4567955864508921,5,1.0,15,0.0
0,0.4070552669527415,5,1.0,15,0.0
0,0.3394533844092522,5,1.0,15,0.0
0,0.29481840084302874,5,1.0,15,0.0
0,0.3837369886378156,1,2.0,0,0.0
0,0.2980163173808827,1,2.0,0,0.0
0,0.6133592250693843,1,6.7,0,0.0
0,0.5585919948972397,2,4.7,1,0.0
0,0.3778428826602495,2,4.7,1,0.0
0,0.5291549600409159,1,2.5,0,0.0
0,0.3783931251459928,2,1.0,6,0.0
0,0.3494728720755914,2,1.0,6,0.0
0,0.3651793500903566,4,2.5,0,0.0
0,0.3492002720914982,4,2.5,0,0.0
0,0.3259743967826926,4,2.5,0,0.0
0,0.2817923896451085,4,2.5,0,0.0
0,0.3876606928597232,3,2.5,0,0.0
0,0.370697903351597,3,2.5,0,0.0
0,0.3460421857918355,3,2.5,0,0.0
0,0.3651793500903566,4,2.0,3,0.0
0,0.3492002720914982,4,2.0,3,0.0
0,0.3259743967826926,4,2.0,3,0.0
0,0.2817923896451085,4,2.0,3,0.0
0,0.5370958812974478,1,1.5,11,0.0
0,0.3876606928597232,3,2.0,0,0.0
0,0.370697903351597,3,2.0,0,0.0
0,0.29914022516714195,3,2.0,0,0.0
0,0.3876606928597232,3,2.0,0,0.0
